# Radius 	finiterdf__LJ_LJ	rdf__LJ_LJ	
2.73203 0.0855658	0.0853021	
2.74112 0.112477	0.112125	
2.75022 0.129282	0.128872	
2.75931 0.146459	0.145988	
2.7684 0.184279	0.183679	
2.77749 0.214249	0.213542	
2.78658 0.256095	0.255241	
2.79567 0.294056	0.293064	
2.80477 0.325752	0.324641	
2.81386 0.373508	0.372223	
2.82295 0.431748	0.430248	
2.83204 0.474806	0.473143	
2.84113 0.545412	0.543488	
2.85022 0.608406	0.606247	
2.85932 0.654771	0.652435	
2.86841 0.711291	0.708743	
2.8775 0.778731	0.775931	
2.88659 0.859467	0.856369	
2.89568 0.921317	0.917992	
2.90477 0.99851	0.994907	
2.91387 1.07873	1.07484	
2.92296 1.12275	1.11871	
2.93205 1.19814	1.19384	
2.94114 1.28241	1.27783	
2.95023 1.34698	1.3422	
2.95932 1.43988	1.43481	
2.96841 1.48335	1.47816	
2.97751 1.55171	1.54634	
2.9866 1.63512	1.62952	
2.99569 1.64695	1.64137	
3.00478 1.74644	1.7406	
3.01387 1.7785	1.77264	
3.02296 1.87507	1.869	
3.03206 1.91431	1.90822	
3.04115 1.96066	1.95453	
3.05024 1.99873	1.99261	
3.05933 2.09753	2.09125	
3.06842 2.08439	2.07829	
3.07751 2.14468	2.13856	
3.08661 2.14492	2.13896	
3.0957 2.20928	2.20331	
3.10479 2.24638	2.24049	
3.11388 2.27036	2.2646	
3.12297 2.24739	2.24187	
3.13206 2.30826	2.30279	
3.14116 2.33021	2.3249	
3.15025 2.36022	2.35505	
3.15934 2.37404	2.36906	
3.16843 2.38315	2.37837	
3.17752 2.41066	2.40605	
3.18661 2.38016	2.37584	
3.19571 2.39652	2.3924	
3.2048 2.41332	2.4094	
3.21389 2.39331	2.38966	
3.22298 2.4198	2.41635	
3.23207 2.36646	2.36332	
3.24116 2.40082	2.39787	
3.25026 2.37656	2.37388	
3.25935 2.3661	2.36366	
3.26844 2.36134	2.35914	
3.27753 2.34921	2.34725	
3.28662 2.36238	2.36064	
3.29571 2.32827	2.32678	
3.3048 2.2973	2.29605	
3.3139 2.3156	2.31457	
3.32299 2.26966	2.26887	
3.33208 2.28171	2.28113	
3.34117 2.23009	2.22973	
3.35026 2.21759	2.21744	
3.35935 2.18279	2.18284	
3.36845 2.18032	2.18057	
3.37754 2.19256	2.19301	
3.38663 2.16251	2.16315	
3.39572 2.11317	2.11398	
3.40481 2.10288	2.10387	
3.4139 2.07067	2.07182	
3.423 2.07188	2.07321	
3.43209 2.01325	2.0147	
3.44118 1.98471	1.9863	
3.45027 1.99037	1.99212	
3.45936 1.96921	1.9711	
3.46845 1.94956	1.95159	
3.47755 1.91321	1.91534	
3.48664 1.92844	1.93074	
3.49573 1.8747	1.87707	
3.50482 1.8443	1.84676	
3.51391 1.84093	1.84351	
3.523 1.82284	1.82553	
3.5321 1.81411	1.81691	
3.54119 1.7555	1.75833	
3.55028 1.74572	1.74863	
3.55937 1.73627	1.73929	
3.56846 1.69127	1.69431	
3.57755 1.68206	1.68518	
3.58665 1.64982	1.65298	
3.59574 1.65527	1.65853	
3.60483 1.63837	1.64169	
3.61392 1.58202	1.58531	
3.62301 1.58386	1.58723	
3.6321 1.56175	1.56516	
3.64119 1.55798	1.56146	
3.65029 1.54631	1.54984	
3.65938 1.51018	1.5137	
3.66847 1.5086	1.51219	
3.67756 1.46357	1.46712	
3.68665 1.44209	1.44564	
3.69574 1.42246	1.42602	
3.70484 1.42045	1.42406	
3.71393 1.39533	1.39893	
3.72302 1.37968	1.38329	
3.73211 1.37688	1.38053	
3.7412 1.32367	1.32722	
3.75029 1.32492	1.32852	
3.75939 1.32053	1.32416	
3.76848 1.31712	1.32078	
3.77757 1.27971	1.2833	
3.78666 1.27681	1.28043	
3.79575 1.24882	1.25238	
3.80484 1.26433	1.26797	
3.81394 1.21955	1.22309	
3.82303 1.1997	1.20321	
3.83212 1.18853	1.19203	
3.84121 1.17815	1.18164	
3.8503 1.18644	1.18998	
3.85939 1.16014	1.16362	
3.86849 1.14378	1.14723	
3.87758 1.14136	1.14482	
3.88667 1.12372	1.12713	
3.89576 1.12244	1.12587	
3.90485 1.10494	1.10833	
3.91394 1.085	1.08834	
3.92304 1.08455	1.0879	
3.93213 1.0689	1.07221	
3.94122 1.05156	1.05482	
3.95031 1.04469	1.04793	
3.9594 1.04981	1.05308	
3.96849 1.03168	1.0349	
3.97758 1.01399	1.01715	
3.98668 1.00459	1.00772	
3.99577 0.999032	1.00215	
4.00486 0.980143	0.983196	
4.01395 0.981623	0.984678	
4.02304 0.975509	0.978543	
4.03213 0.953322	0.956283	
4.04123 0.945426	0.948356	
4.05032 0.949207	0.952144	
4.05941 0.936356	0.939246	
4.0685 0.935054	0.937934	
4.07759 0.917789	0.920608	
4.08668 0.915136	0.917938	
4.09578 0.919599	0.922406	
4.10487 0.901998	0.904741	
4.11396 0.892921	0.895627	
4.12305 0.879979	0.882633	
4.13214 0.875181	0.877808	
4.14123 0.878089	0.880713	
4.15033 0.877934	0.880545	
4.15942 0.864003	0.866559	
4.16851 0.840523	0.842993	
4.1776 0.840248	0.842702	
4.18669 0.826054	0.828449	
4.19578 0.822736	0.825104	
4.20488 0.817129	0.819463	
4.21397 0.825553	0.827894	
4.22306 0.815323	0.817617	
4.23215 0.818537	0.820822	
4.24124 0.803807	0.806031	
4.25033 0.815944	0.818184	
4.25943 0.800773	0.802951	
4.26852 0.787092	0.789212	
4.27761 0.787036	0.789135	
4.2867 0.777157	0.779208	
4.29579 0.772334	0.774351	
4.30488 0.781624	0.783643	
4.31397 0.770957	0.772927	
4.32307 0.760191	0.76211	
4.33216 0.76184	0.763739	
4.34125 0.756605	0.758468	
4.35034 0.767053	0.768918	
4.35943 0.744159	0.745944	
4.36852 0.74261	0.744367	
4.37762 0.7387	0.740422	
4.38671 0.7492	0.750922	
4.3958 0.726144	0.727786	
4.40489 0.733848	0.735482	
4.41398 0.727859	0.729453	
4.42307 0.73119	0.732765	
4.43217 0.723112	0.724643	
4.44126 0.715841	0.717329	
4.45035 0.714466	0.715923	
4.45944 0.711498	0.712922	
4.46853 0.713321	0.71472	
4.47762 0.712634	0.714004	
4.48672 0.713581	0.714924	
4.49581 0.716366	0.717687	
4.5049 0.706994	0.708268	
4.51399 0.695965	0.69719	
4.52308 0.708751	0.709969	
4.53217 0.701768	0.702945	
4.54127 0.693461	0.694593	
4.55036 0.69376	0.694863	
4.55945 0.697763	0.698842	
4.56854 0.697488	0.698537	
4.57763 0.686763	0.687764	
4.58672 0.699734	0.700724	
4.59582 0.698741	0.699699	
4.60491 0.696252	0.697176	
4.614 0.683972	0.684849	
4.62309 0.691847	0.692702	
4.63218 0.698967	0.6998	
4.64127 0.694231	0.695026	
4.65036 0.679034	0.67978	
4.65946 0.683389	0.684107	
4.66855 0.689109	0.689801	
4.67764 0.675597	0.676243	
4.68673 0.688317	0.688942	
4.69582 0.687455	0.688047	
4.70491 0.680086	0.680638	
4.71401 0.680171	0.68069	
4.7231 0.685335	0.685825	
4.73219 0.684528	0.684984	
4.74128 0.695581	0.696011	
4.75037 0.692167	0.692562	
4.75946 0.692279	0.692641	
4.76856 0.687148	0.687473	
4.77765 0.696611	0.696908	
4.78674 0.67664	0.676893	
4.79583 0.699872	0.700101	
4.80492 0.687497	0.687688	
4.81401 0.697091	0.697251	
4.82311 0.703536	0.703663	
4.8322 0.686025	0.686114	
4.84129 0.687565	0.68762	
4.85038 0.699262	0.699284	
4.85947 0.704911	0.704899	
4.86856 0.700653	0.700607	
4.87766 0.699236	0.699155	
4.88675 0.701007	0.700891	
4.89584 0.703044	0.702893	
4.90493 0.703033	0.702847	
4.91402 0.708091	0.70787	
4.92311 0.710767	0.710511	
4.93221 0.698637	0.698349	
4.9413 0.720553	0.720222	
4.95039 0.703975	0.703616	
4.95948 0.703841	0.703447	
4.96857 0.716431	0.715995	
4.97766 0.71661	0.716138	
4.98676 0.71596	0.715455	
4.99585 0.719493	0.71895	
5.00494 0.716927	0.71635	
5.01403 0.714419	0.713809	
5.02312 0.727167	0.726511	
5.03221 0.725796	0.725106	
5.0413 0.736749	0.736015	
5.0504 0.744773	0.743997	
5.05949 0.741877	0.74107	
5.06858 0.735509	0.734674	
5.07767 0.751665	0.750778	
5.08676 0.754197	0.753274	
5.09585 0.763347	0.76238	
