# Time-averaged data for fix f5
# TimeStep Number-of-rows
# Row c_rdff[1] c_rdff[2] c_rdff[3]
100000 2000
314 1.254 0 0
315 1.258 0 0
316 1.262 0 0
317 1.266 0 0
318 1.27 0 0
319 1.274 0 0
320 1.278 0 0
321 1.282 0 0
322 1.286 0 0
323 1.29 0 0
324 1.294 0 0
325 1.298 0 0
326 1.302 0 0
327 1.306 0 0
328 1.31 0 0
329 1.314 0 0
330 1.318 0 0
331 1.322 0 0
332 1.326 0 0
333 1.33 0 0
334 1.334 0 0
335 1.338 0 0
336 1.342 0 0
337 1.346 0 0
338 1.35 0 0
339 1.354 0 0
340 1.358 0 0
341 1.362 0 0
342 1.366 0 0
343 1.37 0 0
344 1.374 0 0
345 1.378 0 0
346 1.382 0 0
347 1.386 0 0
348 1.39 0 0
349 1.394 0 0
350 1.398 0 0
351 1.402 0 0
352 1.406 0 0
353 1.41 0 0
354 1.414 0 0
355 1.418 0 0
356 1.422 0 0
357 1.426 0 0
358 1.43 0 0
359 1.434 0 0
360 1.438 0 0
361 1.442 0 0
362 1.446 0 0
363 1.45 0 0
364 1.454 0 0
365 1.458 0 0
366 1.462 0 0
367 1.466 0 0
368 1.47 0 0
369 1.474 0 0
370 1.478 0 0
371 1.482 0 0
372 1.486 0 0
373 1.49 0 0
374 1.494 0 0
375 1.498 0 0
376 1.502 0 0
377 1.506 0 0
378 1.51 0 0
379 1.514 0 0
380 1.518 0 0
381 1.522 0 0
382 1.526 0 0
383 1.53 0 0
384 1.534 0 0
385 1.538 0 0
386 1.542 0 0
387 1.546 0 0
388 1.55 0 0
389 1.554 0 0
390 1.558 0 0
391 1.562 0 0
392 1.566 0 0
393 1.57 0 0
394 1.574 0 0
395 1.578 0 0
396 1.582 0 0
397 1.586 0 0
398 1.59 0 0
399 1.594 0 0
400 1.598 0 0
401 1.602 0 0
402 1.606 0 0
403 1.61 0 0
404 1.614 0 0
405 1.618 0 0
406 1.622 0 0
407 1.626 0 0
408 1.63 0 0
409 1.634 0 0
410 1.638 0 0
411 1.642 0 0
412 1.646 0 0
413 1.65 0 0
414 1.654 0 0
415 1.658 0 0
416 1.662 0 0
417 1.666 0 0
418 1.67 0 0
419 1.674 0 0
420 1.678 0 0
421 1.682 0 0
422 1.686 0 0
423 1.69 0 0
424 1.694 0 0
425 1.698 0 0
426 1.702 0 0
427 1.706 0 0
428 1.71 0 0
429 1.714 0 0
430 1.718 0 0
431 1.722 0 0
432 1.726 0 0
433 1.73 0 0
434 1.734 0 0
435 1.738 0 0
436 1.742 0 0
437 1.746 0 0
438 1.75 0 0
439 1.754 0 0
440 1.758 0 0
441 1.762 0 0
442 1.766 0 0
443 1.77 0 0
444 1.774 0 0
445 1.778 0 0
446 1.782 0 0
447 1.786 0 0
448 1.79 0 0
449 1.794 0 0
450 1.798 0 0
451 1.802 0 0
452 1.806 0 0
453 1.81 0 0
454 1.814 0 0
455 1.818 0 0
456 1.822 0 0
457 1.826 0 0
458 1.83 0 0
459 1.834 0 0
460 1.838 0 0
461 1.842 0 0
462 1.846 0 0
